CLSTR_ID,SAMP_NO,TYPE_CD,PSYU,PSYU_BLK,FIZ,BGC_ZONE,BGC_SBZN,BGC_VAR,BGC_PHAS,SAMP_TYP,BLOWUP,NO_PLOTS,PLOT_DED,REC_ID,IP_UTM,IP_NRTH,IP_EAST,MAP_NO,POLYGON,tp_gpsid,tp_utm,tp_nrth,tp_east,tp_elev,ap_dsc,ap_gpsid,ap_nrth,ap_east,ap_elev,tp_az_ip,tp_dt_ip,DECLIN,tp_az_pn,tp_dt_pn,tie_trno,rp_az_gp,rp_dt_gp,tp_map,ip_map,tp_poly,ip_poly,tp_fltln,ip_fltln,ip_photo,tp_photo,tp_spec,rp_spec,TP_AZ_tr,rP_AZ_tr,TP_DBH,TP_dt_tr,rp_DBH,rp_dt_tr,ip_gpsid,ip_elev,ip_az_pn,ip_dt_pn,ip_az_gp,ip_dt_gp,PLT_SPC,asc_dt,CREW1,CREW2,CREW3,CREW4,ref_tree,INTEG,NORTH,EAST,SOUTH,WEST,RANGE,ECO,CWD,TREES,ECOLGY,NO_PHOTO,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,LOAD_DT,meas_dt,TR_FLDT,TR_OFFDT,EC_FLDT,EC_OFFDT,Tr_NAME,TO_NAME,Tf_name,ER_NAME,EO_NAME,EF_NAME,pho_typ1,pho_typ2,pho_typ3,pho_typ4,pho_typ5,pho_typ6,pho_ind1,pho_ind2,pho_ind3,pho_ind4,pho_ind5,pho_ind6,notes,PROJ_ID
"0221-0023-TO1","0023","TO1","181","0","D","ESSF","xc",,,"V",9,2,2,"023",11,5440445,289761,"082E001",72,"TIEP0023",11,5440459,289728,2158,,,,,,110,40,19.3,0,0,2878,0,0,"082E001","082E001","00072","00072","BCC01033","BCC01033","51","51","PLI","SE",0,357,21.8,0,33.3,8.25,"IPC00023",2155,0,0,0,0,50,"04/09/04 00:00:00","BDK","DAS",,,2972,"Y","N","N","N","Y","N","N","N","Y","-",2,,,,,,,,,,,"04/09/04 00:00:00","07/07/02 00:00:00",,,,,"BRAD KUMPULA",,,"N/A",,,"PLOT PIN","RANDOM AZIMUTH","REPRESENTATIVE",,,,"Y","N","Y",,,,,"0221"
"0221-0024-TO1","0024","TO1","171","0","G","ESSF","wc","2",,"V",9,5,5,"023",11,,,"082M014",130,"TP024",11,,,,,"NO DATA",,,,231,305,19.3,0,0,9221,0,0,"082M014","082M014","00130","00130","30BCC94094","30BCC94094","141","141","BL","BL",0,301,16.5,0,16.9,0.63,"IPC024",,0,0,145,9,50,"04/09/04 00:00:00","DLL","NWT",,,9210,"Y","Y","Y","Y","Y","N","N","N","Y","N",1,,,,,,,,,,,"04/09/04 00:00:00","07/09/01 00:00:00",,,,,"DERRICK LALONDE",,,"DERRICK LALONDE",,,"PLOT PIN",,,,,,"Y",,,,,,,"0221"
"0221-0025-TO1","0025","TO1","171","0","G","ESSF","wc",,,"V",5,5,5,"023",,,,"082M014",342,"OKI025TP",,,,,,,,,,324,115,19.5,0,0,2463,0,0,"082M014","082M014","00343","00342","30BCC94101","30BCC94101","188","188","BL","BL",0,348,34.5,0,15.5,2.12,"OKI025PC",,0,0,0,0,50,"04/09/04 00:00:00","TJL","DAK",,,2469,"Y","Y","Y","Y","Y","N","N","N","Y","N",3,,,,,,,,,,,"04/09/04 00:00:00","07/15/02 00:00:00",,,,,"TYSEN LEBLANC",,,"DARRYL KLASSEN",,,"PLOT PIN","RANDOM AZIMUTH","REPRESENTATIVE",,,,"Y","Y","Y",,,,,"0221"
"0221-0026-TO1","0026","TO1","112","0","G","ESSF","wc","2",,"V",9,3,3,"023",11,5611366,396676,"082L068",181,"S071118A",11,5611407,396603,1653,,"S071117A",5612200,396396,1375,110,72,19.5,0,0,6541,121,4,"082L068","082L068","00169","00181","15BCC01021","15BCC01021","57","57","BL","BL",0,264,50.1,0,32.4,5.26,"S071119A",1650,239,0.4,,,50,"04/09/04 00:00:00","WAM","SJW",,,6507,"Y","Y","Y","N","N","N","N","N","Y","N",0,,,,,,,,,,,"04/09/04 00:00:00","07/11/02 00:00:00",,,,,"WAYNE MURDOCK",,,,,,,,,,,,,,,,,,,"0221"
"0221-0027-TO1","0027","TO1","187","0","D","ESSF","dc","1",,"V",9,5,5,"023",11,5539325,346777,"082E095",38,"W061016A",11,5539256,346875,1537,,,,,,306,120,19.5,0,0,6510,,,"082E095","082E095","00038","00038","15BCC01030","15BCC01030","87","87","PLI","PLI",0,64,18,0,19.6,2.63,"W061017A",1536,0,0,,,50,"04/09/04 00:00:00","WAM","AWI",,,6526,"Y","Y","Y","Y","Y","N","N","N","N","N",3,,,,,,,,,,,"04/09/04 00:00:00","06/10/02 00:00:00",,,,,"WAYNE MURDOCK",,,,,,,,,,,,,,,,,,,"0221"
"0221-0028-TO1","0028","TO1","181","0","D","ESSF","xc",,,"V",7,5,5,"023",11,5471863,284566,"082E031",299,"W070217A",11,5471838,284523,1796,,,,,,75,45,19.5,0,0,6500,332,8,"082E031","082E031","00299","00299","15BCC01028","15BCC01028","99","99","PLI","PLI",0,187,40.8,0,16,5.77,"W070218A",1812,0,0,,,50,"04/09/04 00:00:00","WAM","AWI",,,6537,"Y","Y","Y","Y","Y","N","N","N","Y","N",3,,,,,,,,,,,"04/09/04 00:00:00","07/02/02 00:00:00",,,,,"WAYNE MURDOCK",,,,,,,,,,,,,,,,,,,"0221"
"0221-0029-TO1","0029","TO1","115","0","G","ESSF","dc","2",,"V",20,5,5,"023",10,5618865,322654,"082L063",252,"OKI029TP",10,5615648,322926,1636,,"OKI029AP",5614877,323662,1763,252,297,19.5,0,0,9320,0,0,"082L063","082L063","00238","00252","15BCC01026","15BCC01026","55","55","SX","PLI",0,10,43,0,22.4,0.8100000000000001,"OKI029PC",1537,0,0,0,0,50,"04/09/04 00:00:00","TLD","ANS",,,9327,"Y","Y","Y","Y","Y","N","N","N","Y","Y",3,,,,,,,,,,,"04/09/04 00:00:00","06/07/02 00:00:00",,,,,"TIM DE GRACE",,,"ANDREI SPAZIER",,,"PLOT PIN","RANDOM AZIMUTH","REPRESENTATIVE",,,,"Y","Y","Y",,,,,"0221"
"0221-0030-TO1","0030","TO1","187","0","E","ESSF","dc","1",,"V",7,5,5,"023",,,,"082E096",296,"OKI030TP",,,,,,,,,,93,65,19.5,0,0,9270,0,0,"082E096","082E096","00299","00296","15BCC01030","15BCC01030","205","205","BL","BL",0,167,28.8,0,17.6,0.6,"OKI030PC",,0,0,0,0,50,"04/09/04 00:00:00","TJL","DAK",,,9271,"Y","Y","N","Y","Y","N","N","N","Y","Y",3,,,,,,,,,,,"04/09/04 00:00:00","07/18/02 00:00:00",,,,,"TYSEN LEBLANC",,,"DARRYL KLASSEN",,,"PLOT PIN","RANDOM AZIMUTH","REPRESENTATIVE",,,,"Y","Y","Y",,,,,"0221"
"0221-0031-TO1","0031","TO1","181","0","D","ESSF","xc",,,"V",9,4,4,"023",11,5470239,284670,"082E031",323,"W070516B",11,5470185,284647,1755,,"W070516A",5469961,284694,1734,20,60,19.5,143,0.8100000000000001,6512,,,"082E031","082E031","02009","00323","15BCC01028","15BCC01028","100","100","SE","PLI",0,81,8.4,0,24.7,1.02,"W070516C",1769,0,0,,,50,"04/09/04 00:00:00","WAM","AWI",,,6524,"Y","Y","Y","N","Y","N","N","N","Y","N",3,,,,,,,,,,,"04/09/04 00:00:00","07/05/02 00:00:00",,,,,"WAYNE MURDOCK",,,,,,,,,,,,,,,,,,,"0221"
"0221-0032-TO1","0032","TO1","171","0","G","ICH","wk","1",,"V",12,5,5,"023",11,5695991,363805,"082M036",14,"TP032",11,5696009,363908,941,,,,,,81,90,19.3,0,0,9208,52,4,"082M036","082M036","00014","00014","BCC94137","BCC94137","57","57","CW","CW",28,315,91.2,13,29.2,1.35,"IPC032",995,0,0,0,0,50,"04/09/04 00:00:00","DLL","CMK",,,2955,"Y","Y","Y","Y","Y","N","N","N","Y","-",2,,,,,,,,,,,"04/09/04 00:00:00","06/21/02 00:00:00",,,,,"DERRICK LALONDE",,,"N/A",,,"PLOT PIN","RANDOM AZIMUTH","REPRESENTATIVE",,,,"Y","N","Y",,,,,"0221"
"0221-0033-TO1","0033","TO1","112","0","G","ICH","mw","2",,"V",9,5,5,"023",10,5611462,380265,"082L067",275,"OKI033TP",10,5611172,380376,377,,"OKI033AP",5611089,379163,639,338,320,19.5,0,0,9316,0,0,"082L067","082L067","00275","00275","15BCC01021","15BCC01021","67","67","OTH","CW",0,288,0.1,0,35.9,5.24,"OKI033PC",462,0,0,0,0,50,"04/09/04 00:00:00","TLD","ANS",,,9317,"Y","Y","Y","Y","Y","N","N","N","Y","Y",3,,,,,,,,,,,"04/09/04 00:00:00","05/27/02 00:00:00",,,,,"TIM DEGRACE",,,"ANDREI SPAZIER",,,"PLOT PIN","RANDOM AZIMUTH","REPRESENTATIVE",,,,"Y","Y","Y",,,,,"0221"
"0221-0034-TO1","0034","TO1","171","0","G","ICH","mw","3",,"V",5,3,3,"023",11,5691105,370656,"082M036",150,"TP034",11,5691207,370430,553,,,,,,110,250,19.3,0,0,2982,,,"082M036","082M036","00414","00137","BCC94137","BCC94137","89","89","ACT","CW",0,188,5,0,33.8,3.3,"IPC034",613,0,0,0,0,50,"04/09/04 00:00:00","BDK","DLL",,,9389,"Y","Y","Y","N","N","N","N","N","Y","-",2,,,,,,,,,,,"04/09/04 00:00:00","06/12/02 00:00:00",,,,,"BRAD KUMPULA",,,"N/A",,,"PLOT PIN","RANDOM AZIMUTH","REPRESENTATIVE",,,,"Y","N","N",,,,,"0221"
"0221-0035-TO1","0035","TO1","171","0","G","ICH","wk","1",,"V",7,4,4,"023",11,5671657,350037,"082M015",141,"TP035",11,5671794,349960,1219,,,,,,152,155,19.3,0,0,2997,0,0,"082M015","082M015","00032","00141","BCC94101","BCC94101","180","180","CW","BL",0,75,68.8,0,50.8,8.369999999999999,"IPC035",1240,0,0,0,0,50,"04/09/04 00:00:00","BDK","DLL",,,9390,"Y","Y","N","Y","Y","N","N","N","Y","-",2,,,,,,,,,,,"04/09/04 00:00:00","06/12/02 00:00:00",,,,,"BRAD KUMPULA",,,"N/A",,,"PLOT PIN","RANDOM AZIMUTH","REPRESENTATIVE",,,,"Y","N","Y",,,,,"0221"
"0221-0036-TO1","0036","TO1","150","0","G","ICH","mw","3",,"V",12,3,3,"023",11,5642269,376627,"082L097",546,"TP036",11,5642219,376608,968,,,,,,32,25,19.3,0,0,9215,161,3.2,"082L097","082L097","00546","00546","BCC01026","BCC01026","181","181","CW","HW",0,258,84.40000000000001,0,12.2,1.76,"IPC036",968,0,0,184,11.6,50,"04/09/04 00:00:00","DLL","CMK",,,2868,"Y","N","N","Y","Y","N","N","N","Y","-",2,,,,,,,,,,,"04/09/04 00:00:00","06/17/02 00:00:00",,,,,"DERRICK LALONDE",,,"N/A",,,"PLOT PIN","RANDOM AZIMUTH","REPRESENTATIVE",,,,"Y","N","Y",,,,,"0221"
"0221-0037-TO1","0037","TO1","171","0","G","ICH","vk","1",,"V",12,4,4,"023",11,5706582,368701,"082M046",20,"TP037",11,5706568,368671,743,,"NO DATA",,,,60,30,19.3,0,0,9237,0,0,"082M046","082M046","00020","00020","BCC01001","BCC01001","58","58","HW","CW",0,258,61.4,0,91.3,1.53,"IPC037",762,0,0,0,0,50,"04/09/04 00:00:00","DLL","CMK",,,9380,"Y","Y","Y","Y","N","N","N","N","Y","N",3,,,,,,,,,,,"04/09/04 00:00:00","06/20/02 00:00:00",,,,,"DERRICK LALONDE",,,"N/A",,,"PLOT PIN","RANDOM AZIMUTH","REPRESENTATIVE",,,,"Y","N","Y",,,,,"0221"
"0221-0038-TO1","0038","TO1","171","0","G","ICH","mw","3",,"V",12,3,3,"023",11,5661100,364216,"082M006",1120,"TIE0038",11,5661028,364071,906,,,,,,248,20,19.3,0,0,9214,199,7.9,"082M006","082M006","01120","01120","082M006","082M006","171","171","CW","CW",0,230,54.8,0,35.6,2.62,"IPC0038",1082,0,0,0,0,50,"04/09/04 00:00:00","BDK","DAS",,,9259,"Y","Y","Y","N","N","N","N","N","Y","-",2,,,,,,,,,,,"04/09/04 00:00:00","07/09/02 00:00:00",,,,,"BRAD KUMPULA",,,"N/A",,,"PLOT PIN","RANDOM AZIMUTH","REPRESENTATIVE",,,,"Y","N","Y",,,,,"0221"
"0221-0039-TO1","0039","TO1","112","0","G","ICH","wk","1",,"V",20,5,5,"023",10,5618665,395783,"082L078",398,"OKI039TP",10,5618723,396031,1354,,"OKI039TP",5618789,396160,1341,255,255,19.3,0,0,9260,0,0,"082L078","082L078","00443","00398","15BCC01021","15BCC01021","28","28","BL","CW",0,143,18,0,36.5,7.14,"OKI039PC",1417,0,0,0,0,50,"04/09/04 00:00:00","TJL","SRM",,,9261,"Y","Y","Y","Y","Y","N","N","N","Y","Y",3,,,,,,,,,,,"04/09/04 00:00:00","06/18/02 00:00:00",,,,,"TYSEN LEBLANC",,,"SCOTT MACKINNON",,,"PLOT PIN","RANDOM AZIMUTH","REPRESENTATIVE",,,,"Y","Y","Y",,,,,"0221"
"0221-0040-TO1","0040","TO1","150","0","G","ICH","mw","3",,"V",9,5,5,"023",,,,"082L086",446,"TP040",,,,,,,,,,180,34,19.3,0,0,2981,0,0,"082L086","082L086","00446","00446","BCC01024","BCC01024","92","92","FDI","EP",0,276,21.9,0,28,1.8,"IPC040",,0,0,0,0,50,"04/09/04 00:00:00","BDK","DLL",,,2969,"Y","Y","Y","Y","Y","N","N","N","Y","-",2,,,,,,,,,,,"04/09/04 00:00:00","05/31/02 00:00:00",,,,,"BRAD KUMPULA",,,"N/A",,,"PLOT PIN","RANDOM AZIMUTH","REPRESENTATIVE",,,,"Y","N","Y",,,,,"0221"
"0221-0041-TO1","0041","TO1","171","0","G","ICH","vk","1",,"V",7,4,4,"023",11,5685559,383278,"082M037",172,"TIEP0041",11,5685564,383217,1164,,,,,,111,55,19.3,0,0,1486,65,7.55,"082M037","082M037","00172","00172","BCC94096","BCC94096","46","46","SX","SX",0,153,42.1,0,9.4,3.28,"IPC00041",1170,0,0,0,0,50,"04/09/04 00:00:00","BDK","KES",,,9371,"Y","Y","Y","N","Y","N","N","N","Y","-",2,,,,,,,,,,,"04/09/04 00:00:00","06/19/02 00:00:00",,,,,"BRAD KUMPULA",,,"N/A",,,"PLOT PIN","RANDOM AZIMUTH","REPRESENTATIVE",,,,"Y","N","Y",,,,,"0221"
"0221-0042-TO1","0042","TO1","150","0","G","ICH","mw","3",,"V",12,5,5,"023",,,,"082L096",76,"TP042",,,,,,,,,,61,65,19.3,61,8.800000000000001,2872,61,8.300000000000001,"082L096","082L096","00474","00076","BCC01026","BCC01026","183","183","CW","CW",0,196,43.8,0,35.9,1.61,"IPCO42",,0,0,0,0,50,"04/09/04 00:00:00","BDK","DLL",,,2873,"Y","Y","Y","Y","Y","N","N","N","Y","-",2,,,,,,,,,,,"04/09/04 00:00:00","05/30/02 00:00:00",,,,,"BRAD KUMPULA",,,"N/A",,,"PLOT PIN","REPRESENTATIVE","RANDOM AZIMUTH",,,,"Y","Y","N",,,,,"0221"
"0221-0043-TO1","0043","TO1","112","0","G","ICH","mw","2",,"V",12,3,3,"023",10,5607918,401775,"082L069",340,"OKI043TP",10,5608115,401462,688,,"OKI043AP",5608136,401454,685,121,370,19.3,0,0,9258,0,0,"082L069","082L069","00340","00496","15BCC01021","15BCC01021","74","74","ACT","CW",0,185,57.8,0,22.8,2.12,"OKI043PC",677,0,0,0,0,50,"04/09/04 00:00:00","SRM","TJL",,,9259,"Y","Y","N","N","Y","N","N","N","Y","N",3,,,,,,,,,,,"04/09/04 00:00:00","06/18/02 00:00:00",,,,,"SCOTT MACKINNON",,,"TYSEN LEBLANC",,,"PLOT PIN","RANDOM AZIMUTH","REPRESENTATIVE",,,,"Y","Y","Y",,,,,"0221"
"0221-0044-TO1","0044","TO1","126","0","E","ICH","mk","1",,"F",100.0672412144674,5,5,"023",,,,"082E097",345,"OKI044TP",,,,,,"OKI044AP",,,,40,55,19.3,0,0,9246,0,0,"082E097","082E097","00345","00345","15BCC010C0","15BCC010C0","200","200","PLI","PLI",0,100,14.1,0,9.9,5.65,"OKI044PC",,0,0,0,0,50,"04/09/04 00:00:00","TJL","SRM",,,9247,"Y","Y","Y","Y","Y","N","N","N","Y","Y",3,,,,,,,,,,,"04/09/04 00:00:00","05/26/02 00:00:00",,,,,"TYSEN LEBLANC",,,"SCOTT MACKINNON",,,"PLOT PIN","RANDOM AZIMUTH","REPRESENTATIVE",,,,"Y","Y","Y",,,,,"0221"
"0221-0045-TO1","0045","TO1","112","0","G","ICH","mw","2",,"V",12,4,4,"023",10,5558796,406278,"082L019",98,"OKI045TP",10,5558838,406134,1239,,,,,,105,150,19.3,0,0,9250,0,0,"082L019","082L019","00098","00098","15BCC01029","15BCC01029","51","51","HW","CW",269,164,16.7,0.54,26.2,0.54,"OKI045PC",1293,0,0,0,0,50,"04/09/04 00:00:00","TJL","SRM",,,9251,"Y","Y","Y","N","Y","N","N","N","Y","Y",3,,,,,,,,,,,"04/09/04 00:00:00","05/28/02 00:00:00",,,,,"TYSEN LEBLANC",,,"SCOTT MACKINNON",,,"PLOT PIN","RANDOM AZIMUTH","REPRESENTATIVE",,,,"Y","Y","Y",,,,,"0221"
"0221-0046-TO1","0046","TO1","187","0","D","ICH","mk","1",,"V",7,5,5,"023",11,5535088,351328,"082E095",224,"S052417A",11,5535204,351049,1165,,,,,,109,300,19.5,0,0,8978,,,"082E095","082E095","00272","00224","15BCC01030","15BCC01030","213","213","SX","BL",135,13,34.5,18.43,15.9,0.84,"S052418A",1130,0,0,,,50,"04/09/04 00:00:00","GFS","SJW",,,8955,"Y","Y","Y","Y","Y","N","N","N","Y","N",3,,,,,,,,,,,"04/09/04 00:00:00","05/24/02 00:00:00",,,,,"GARRET STONE",,,,,,,,,,,,,,,,,,,"0221"
"0331-0007-QO1","0007","QO1","195","0","A","CWH","vh","1",,"V",20.25,5,1,"023",9,5633969,641963,"092L086",284,"J081915A",9,5633831,642041,15,"HELIPAD ON SHORLINE","J081915A",5633830,642048,15,330,165,21.1,0,,10451,281,7,"092L086","092L086","00284","00284","30BCC98012","30BCC98012","96","96","CW","HW",188,126,15.8,4.8,36,3.74,"NO DATA",,0,0,,,0,"04/09/04 00:00:00","JWS","JPT",,,10452,"Y","Y","Y","Y","Y","N","N","N","Y","-",5,,,,,,,,,,,"04/09/04 00:00:00","08/19/03 00:00:00",,,,,"JOHN SCHNORBUS",,,,,,"PLOT PIN","RANDOM AZIMUTH","REPRESENTATIVE","PLOT PIN","PLOT PIN",,"Y","Y","Y","Y","Y",,,"0331"
"0331-0008-QO1","0008","QO1","195","0","A","CWH","vm","1",,"V",12.25,5,1,"023",9,5611204,689420,"092L069",828,"J091217B",9,5610747,689760,404,"HELIPAD ON OLD ROAD","J091217A",5610594,689815,383,324,570,21.1,0,,9971,335,16,"092L069","092L069","00821","00828","30BCC96164","30BCC96164","38","38","HW","HW",0,58,30.7,0,28,0.73,"NO DATA",,0,0,,,0,"04/09/04 00:00:00","JWS","JPT",,,9972,"Y","Y","Y","Y","Y","N","N","N","Y","-",3,,,,,,,,,,,"04/09/04 00:00:00","09/12/03 00:00:00",,,,,"JOHN SCHNORBUS",,,,,,"PLOT PIN","RANDOM AZIMUTH","REPRESENTATIVE",,,,"Y","Y","Y",,,,,"0331"
"0331-0009-QO1","0009","QO1","195","0","A","CWH","vm","2",,"V",12.25,4,4,"023",9,5660764,631748,"092M005",281,"J082215A",56,6077963,631832,477,"HELIPAD IN SWAMP","J082222A",5660750,631875,467,260,85,21.1,0,,10457,0,,"092M005","092M005",,"00281","30BCC99002","30BCC99002","026","026","PIC","FD",0,216,36.3,0,0.3,3.19,"NO DATA",,0,0,,,0,"04/09/04 00:00:00","JWS","JPT",,,10458,"Y","N","Y","Y","Y","N","N","N","Y","-",3,,,,,,,,,,,"04/09/04 00:00:00","08/22/03 00:00:00",,,,,"JOHN SCHNORBUS",,,,,,"PLOT PIN","RANDOM AZIMUTH","REPRESENTATIVE",,,,"Y","Y","Y",,,,,"0331"
"0331-0010-QO1","0010","QO1","195","0","A","CWH","vh","1",,"V",16,3,3,"023",9,5650176,624982,"092L094",288,"J082414B",9,5650672,624959,66,"HELIPAD IN SWAMP","J082414A",5650735,624912,65,177,510,21.1,0,,10461,130,4,"092L094","092L094","01500","00288","30BCC96169","30BCC96169","212","212","CW","HW",0,321,22.8,0,47.3,2.17,"NO DATA",,0,0,,,0,"04/09/04 00:00:00","JWS","JPT",,,10462,"Y","N","Y","Y","N","N","N","Y","Y","-",3,,,,,,,,,,,"04/09/04 00:00:00","08/24/03 00:00:00",,,,,"JOHN SCHNORBUS",,,"N/A",,,"PLOT PIN","RANDOM AZIMUTH","REPRESENTATIVE",,,,"Y","Y","Y",,,,,"0331"
"0331-0011-QO1","0011","QO1","195","0","A","CWH","vm","1",,"V",12.25,4,1,"023",9,5647365,700154,"092L100",61,"NO DATA",,,,,"OPENING NEAR CREEK","NO DATA",,,,45,360,21.1,0,,10409,,,"092L100","092L100","00051","00061","30BCC96172","30BCC96172","160","160","BA","HW",174,42,57.4,10.5,51.2,2.1,"NO DATA",,0,0,,,0,"04/09/04 00:00:00","BCH","BRH",,,10410,"Y","Y","Y","Y","N","N","N","Y","Y","-",3,,,,,,,,,,,"04/09/04 00:00:00","09/10/03 00:00:00",,,,,"BIN CHERAKHA",,,,,,"PLOT PIN","RANDOM AZIMUTH","REPRESENTATIVE",,,,"Y","Y","Y",,,,,"0331"
"0331-0012-QO1","0012","QO1","195","0","A","CWH","vh","1",,"V",12.25,5,1,"023",9,5623655,588769,"092L072",524,"Z091514A",9,5623776,589001,232,,"NO DATA",,,,244,265,21.1,0,,9995,0,,"092L072","092L072","00521","00524","30BCC96166","30BCC96166","038","038","YC","HW",52,0,21.6,12.55,14.6,1.71,"NO DATA",,0,0,,,0,"04/09/04 00:00:00","JAD","MTS",,,9996,"Y","Y","Y","Y","Y","N","N","Y","Y","-",3,,,,,,,,,,,"04/09/04 00:00:00","09/14/03 00:00:00",,,,,"JAMES A.DRAKE",,,,,,"PLOT PIN","RANDOM AZIMUTH","REPRESENTATIVE",,,,"Y","Y","Y",,,,,"0331"
"0331-0013-QO1","0013","QO1","195","0","A","CWH","vh","1",,"V",16,4,1,"023",9,5622841,562196,"102I080",624,"J091615A",9,5622842,562117,101,,"NO DATA",,,,90,80,21.1,0,,9977,101,15,"102I080","102I080","00619","00624","30BCC96166","30BCC96166","18","18","CW","CW",0,87,34.5,0,37,5.2,"NO DATA",,0,0,,,0,"04/09/04 00:00:00","JWS","JPT",,,9978,"Y","Y","Y","N","Y","N","N","Y","Y","-",3,,,,,,,,,,,"04/09/04 00:00:00","09/16/03 00:00:00",,,,,"JOHN SCHNORBUS",,,,,,"PLOT PIN","RANDOM AZIMUTH","REPRESENTATIVE",,,,"Y","Y","Y",,,,,"0331"
"0331-0014-QO1","0014","QO1","195","0","A","CWH","vh","1",,"V",20.25,5,1,"023",9,5664033,611697,"092M013",577,"J082114B",9,5663958,611465,467,"HELIPAD IN SWAMP","J082114A",5663795,611363,471,73,250,21.1,0,,10455,0,,"092M013","092M013","00731","00577","30BCC00027","30BCC00027","076","076","YC","CW",247,249,20.4,8.699999999999999,46.9,1.97,"NO DATA",,0,0,,,0,"04/09/04 00:00:00","JWS","JPT",,,10456,"Y","Y","Y","Y","Y","N","N","Y","Y","-",3,,,,,,,,,,,"04/09/04 00:00:00","08/21/03 00:00:00",,,,,"JOHN SCHNORBUS",,,"N/A",,,"PLOT PIN","RANDOM AZIMUTH","REPRESENTATIVE",,,,"Y","Y","Y",,,,,"0331"
"0331-0015-QO1","0015","QO1","195","0","A","CWH","vh","1",,"V",20.25,3,3,"023",9,5671621,599271,"092M013",10,"B082114A",9,5671790,598890,391,"SWAMP","B082114A",5671790,598890,391,115,425,21.1,0,,10443,0,,"092M013","092M013","00008","00010","BC7392","BC7392","144","144","PLC","HW",16,257,28.2,15.8,29.1,1.27,"NO DATA",,0,0,,,0,"04/09/04 00:00:00","BCH","BRH",,,10444,"Y","Y","Y","N","N","N","N","Y","Y","-",3,,,,,,,,,,,"04/09/04 00:00:00","08/21/03 00:00:00",,,,,"BIN CHERAKHA",,,"N/A",,,"PLOT PIN","RANDOM AZIMUTH","REPRESENTATIVE",,,,"Y","Y","Y",,,,,"0331"
"0331-0016-QO1","0016","QO1","195","0","A","CWH","vh","1",,"V",12.25,5,1,"023",9,5620415,578007,"092L071",919,"NO DATA",,,,,,"NO DATA",,,,180,50,21.1,0,,10419,,,"092L071","092L071","00939","00919","30 BCC96165","30 BCC96165","180","180","PLC","CW",10,77,26.1,4.2,25.4,0.89,"B091520A",144,0,0,0,,0,"04/09/04 00:00:00","BCH","BRH",,,10420,"Y","Y","Y","Y","Y","N","N","Y","Y","-",3,,,,,,,,,,,"04/09/04 00:00:00","09/15/03 00:00:00",,,,,"BIN CHERAKHA",,,,,,"PLOT PIN","RANDOM AZIMUTH","REPRESENTATIVE",,,,"Y","Y","Y",,,,,"0331"
"0331-0017-QO1","0017","QO1","195","0","A","CWH","vh","1",,"V",16,4,1,"023",9,5648982,639641,"092L095",325,"J082615A",9,5649171,639863,364,"HELIPAD ON ROAD","J082614A",5649260,639937,373,231,280,21.1,0,,10465,0,,"092L095","092L095","00325","00325","30BCC96169","30BCC96169","136","136","YC","YC",0,260,32.9,0,26.3,4.46,"NO DATA",,0,0,0,,0,"04/09/04 00:00:00","JWS","JPT",,,10466,"Y","Y","Y","N","Y","N","N","Y","-","-",3,,,,,,,,,,,"04/09/04 00:00:00","08/26/03 00:00:00",,,,,"JOHN SCHNORBUS",,,"N/A",,,"PLOT PIN","RANDOM AZIMUTH","REPRESENTATIVE",,,,"Y","Y","Y",,,,,"0331"
"0331-0020-QO1","0020","QO1","195","0","A","CWH","vm","1",,"V",12.25,4,1,"023",9,5666996,676028,"092M018",686,"NO DATA",,,,,"GRAVEL BAR","B090815A",5667131,676256,21,241,195,21.1,0,,9963,0,,"092M018","092M018","00686","00686","30BCC00027","30BCC00027","120","120","SS","BA",155,244,38.8,7.6,50.7,4.3,"NO DATA",,0,0,,,0,"04/09/04 00:00:00","BCH","BRH",,,9964,"Y","Y","Y","N","Y","N","N","Y","Y","-",5,,,,,,,,,,,"04/09/04 00:00:00","09/08/03 00:00:00",,,,,"BIN CHERAKHA",,,,,,"PLOT PIN","RANDOM AZIMUTH","REPRESENTATIVE","PLOT PIN","PLOT PIN",,"Y","Y","Y","Y","Y",,"PHOTO NO.B2-4","0331"
"0331-0021-QO1","0021","QO1","195","0","A","CWH","vh","1",,"V",20.25,4,1,"023",9,5633049,581374,"092L081",421,"Z091515A",9,5632967,581422,153,,"NO DATA",,,,326,90,21.1,146,4,9997,0,,"092L081","092L081","00420","00421","30BCC96167","30BCC96167","022","022","YC","CW",148,168,51,9.23,95.09999999999999,11.13,"NO DATA",,46,0.78,,,0,"04/09/04 00:00:00","JAD","MTS",,,9998,"Y","Y","N","Y","Y","N","N","N","N","-",3,,,,,,,,,,,"04/09/04 00:00:00","09/15/03 00:00:00",,,,,"JAMES A.DRAKE",,,,,,"PLOT PIN","RANDOM AZIMUTH","REPRESENTATIVE",,,,"Y","Y","Y",,,,,"0331"
